branch,event,promo,start,end
Universal Studios Singapore,Maybank Promo,Maybank 15% off on One-Day Adult Passes and S$5 off on One-Day Child Passes,"Jan 01, 2016","May 31, 2016"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive: 10% Off One-Day Adult Pass + Free Souvenir Cup (worth S$20),"Jan 04, 2016","May 31, 2016"
Universal Studios Singapore,NTUC Members Promo,NTUC Members: 50% Off Second Adult One-Day Pass,"May 21, 2016","May 28, 2016"
Universal Studios Singapore,NSmen Promo,NSmen Promotion: 1-For-1 Tickets,"Jun 26, 2016","Jul 01, 2016"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive: 10% Off Universal Studios Singapore Adult One-Day Pass,"Aug 01, 2016","Jan 02, 2017"
Universal Studios Singapore,USS Promo,Offer: Buy 2 Adult One-Day Passes and get 50% off on the 3rd,"Sep 01, 2016","Oct 31, 2016"
Universal Studios Singapore,USS Promo,"Offer: $138 for 2 Adult One-Day Passes, $30 voucher, and one photo (worth $203)","Jan 03, 2017","Mar 19, 2017"
Universal Studios Singapore,NSmen Promo,NSmen Promotion: 1-For-1 Tickets,"Jul 01, 2017","Aug 10, 2017"
Universal Studios Singapore,Maybank Promo,Maybank Exclusive: 1-For-1 Tickets,"Mar 01, 2018","Jun 10, 2018"
Universal Studios Singapore,SAF Day Promo,SAF Day Promotion: 3 parks for the price of 1,"Jul 01, 2018","Oct 31, 2018"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive: Buy-2-Get-1 Free,"Mar 18, 2019","Apr 30, 2019"
Universal Studios Singapore,Maybank Promo,Maybank Exclusive: 1-For-1 Tickets,"Mar 01, 2019","May 31, 2019"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive: Adult Ticket at Child Rate of SGD 59 (U.P. SGD 79),"May 16, 2019","Jun 30, 2019"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive: 6 Months Unlimited Entry,"Mar 07, 2020","Apr 12, 2020"
Universal Studios Singapore,Mastercard Promo,Mastercard Exclusive (SGD59 Ticket + LiHO TEA),"Aug 01, 2020","Aug 31, 2020"
Universal Studios Singapore,USS Christmas Event,A Universal Christmas,"Dec 02, 2019","Jan 01, 2020"
